Time_s,Pressure_mbar,Flow_ul_min
746.12,-0.19,0.00
747.12,-0.12,0.00
748.12,-0.19,0.00
749.13,-0.25,0.00
750.13,-0.19,0.00
751.13,-0.12,0.00
752.13,-0.12,0.00
753.13,-0.25,0.00
754.13,-0.19,0.00
755.13,-0.19,0.00
756.13,-0.19,0.00
757.14,-0.25,0.00
758.14,-0.19,0.00
759.14,-0.25,0.00
760.14,-0.19,0.00
761.14,-0.19,0.00
762.14,-0.19,0.00
763.14,-0.12,0.00
764.14,-0.19,0.00
765.14,-0.12,0.00
766.15,-0.19,0.00
767.15,-0.12,0.00
768.15,-0.19,0.00
769.15,-0.25,0.00
770.15,-0.19,0.00
771.15,-0.12,0.00
772.16,-0.25,0.00
773.16,-0.19,0.00
774.16,-0.19,0.00
775.16,-0.12,0.00
776.16,-0.12,0.00
777.16,-0.06,0.00
778.16,-0.19,0.00
779.16,-0.19,0.00
780.17,-0.12,0.00
781.17,-0.12,0.00
783.17,-0.19,0.00
784.17,-0.25,0.00
785.17,-0.12,0.00
786.18,-0.12,0.00
787.18,-0.06,0.00
788.18,-0.19,0.00
789.18,-0.12,0.00
790.18,-0.19,0.00
791.18,-0.25,0.00
792.19,-0.25,0.00
793.19,-0.19,0.00
794.19,-0.19,0.00
795.19,-0.19,0.00
796.19,-0.19,0.00
797.19,-0.12,0.00
798.19,-0.12,0.00
799.19,-0.19,0.00
800.19,-0.06,0.00
801.19,-0.25,0.00
802.20,-0.19,0.00
803.20,-0.25,0.00
804.20,-0.12,0.00
805.20,-0.06,0.00
806.20,-0.19,0.00
807.20,-0.06,0.00
808.20,-0.19,0.00
809.20,-0.06,0.00
810.21,-0.12,0.00
811.21,-0.19,0.00
814.24,-0.12,0.00
815.24,-0.19,0.00
816.24,-0.06,0.00
817.24,-0.12,0.00
818.24,-0.19,0.00
819.24,-0.19,0.00
820.24,-0.19,0.00
821.24,-0.19,0.00
848.98,-0.12,0.00
849.99,60.06,0.00
850.99,180.57,0.00
851.99,301.00,0.00
852.99,421.34,0.00
853.99,541.83,0.00
854.99,600.19,0.00
855.99,600.13,0.00
858.00,535.64,0.00
859.00,415.22,0.00
860.00,294.87,0.00
861.00,174.57,0.00
863.01,502.81,0.00
864.01,379.78,0.00
866.01,137.35,0.00
868.01,-0.12,0.00
869.01,-0.12,0.00
870.01,-0.19,0.00
871.02,-0.06,0.00
872.02,-0.12,0.00
873.02,40.32,0.00
874.02,120.75,0.00
875.03,200.95,0.00
876.03,281.15,0.00
877.03,361.40,0.00
878.06,399.92,0.00
879.08,399.92,0.00
880.08,399.92,0.00
881.08,399.92,0.00
882.08,399.92,0.00
883.08,399.98,0.00
884.08,399.86,0.00
885.09,399.92,0.00
886.09,399.92,0.00
887.09,399.92,0.00
888.09,399.86,0.00
889.09,399.98,0.00
890.09,399.92,0.00
891.09,399.86,0.00
892.09,399.86,0.00
893.09,399.86,0.00
894.09,399.92,0.00
896.10,399.92,0.00
897.10,399.92,0.00
898.10,399.92,0.00
899.10,399.86,0.00
900.10,399.92,0.00
901.10,399.92,0.00
902.10,399.98,0.00
903.11,399.98,0.00
904.11,399.92,0.00
905.11,399.92,0.00
906.11,399.92,0.00
907.11,399.86,0.00
908.11,399.92,0.00
909.12,399.92,0.00
910.12,399.92,0.00
911.12,399.92,0.00
912.12,399.92,0.00
913.12,399.92,0.00
914.12,399.92,0.00
915.12,399.92,0.00
916.12,399.86,0.00
917.12,399.86,0.00
918.12,399.92,0.00
919.13,399.92,0.00
920.13,399.92,0.00
921.13,399.86,0.00
922.13,399.86,0.00
923.13,399.86,0.00
925.13,399.86,0.00
926.13,399.98,0.00
927.13,399.86,0.00
929.14,399.92,0.00
930.14,399.98,0.00
931.14,399.92,0.00
932.14,399.80,0.00
933.14,399.92,0.00
934.14,399.92,0.00
935.14,399.92,0.00
936.14,399.92,0.00
937.15,399.92,0.00
938.15,333.65,0.00
939.15,253.46,0.00
940.15,172.92,0.00
941.15,92.25,0.00
942.15,11.94,0.00
943.15,351.36,0.00
944.15,270.49,0.00
945.15,192.01,0.00
946.15,110.46,0.00
947.15,19.24,0.00
948.16,-0.25,0.00
949.16,-0.25,0.00
950.16,-0.12,0.00
951.16,-0.19,0.00
952.16,-0.19,0.00
953.16,-0.19,0.00
954.16,-0.19,0.00
955.16,-0.19,0.00
956.17,-0.19,0.00
957.17,-0.06,0.00
959.17,-0.25,0.00
960.17,-0.19,0.00
961.17,-0.19,0.00
962.17,-0.06,0.00
963.17,-0.19,0.00
964.17,-0.19,0.00
965.18,-0.25,0.00
966.18,-0.19,0.00
967.18,-0.25,0.00
968.18,-0.12,0.00
969.18,-0.19,0.00
971.18,-0.19,0.00
972.18,-0.19,0.00
973.18,-0.19,0.00
974.19,-0.25,0.00
975.19,-0.12,0.00
976.19,-0.19,0.00
977.19,-0.12,0.00
979.19,-0.12,0.00
980.19,-0.12,0.00
981.19,-0.25,0.00
982.19,-0.12,0.00
983.20,-0.12,0.00
984.20,-0.19,0.00
985.20,-0.19,0.00
986.20,-0.19,0.00
987.20,-0.19,0.00
988.20,-0.12,0.00
989.20,-0.25,0.00
990.20,-0.19,0.00
992.20,-0.12,0.00
